Institute,Location,Type,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,OBC (CW),Gender-Neutral,,99626,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,SC (CW),Gender-Neutral,,304195,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,OPEN (PwD),Gender-Neutral,,199938,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,EWS (PwD),Gender-Neutral,,1290052,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,OBC (PwD),Gender-Neutral,,756719,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,HS,SC (PwD),Gender-Neutral,,473332,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),HS,OPEN,Gender-Neutral,,15264,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),HS,EWS,Gender-Neutral,,26286,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),HS,OBC-NCL,Gender-Neutral,,57736,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),HS,SC,Gender-Neutral,,130553,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),HS,ST,Gender-Neutral,,384101,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),HS,OPEN,Female Only,,20647,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),HS,EWS,Female Only,,36547,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),HS,OBC-NCL,Female Only,,85371,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),HS,SC,Female Only,,191918,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),HS,OPEN (CW),Gender-Neutral,,55989,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),HS,OBC (CW),Gender-Neutral,,111264,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),HS,OPEN (PwD),Gender-Neutral,,242254,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),HS,OBC (PwD),Gender-Neutral,,347355,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,HS,OPEN,Gender-Neutral,,19074,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,HS,EWS,Gender-Neutral,,30826,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,HS,OBC-NCL,Gender-Neutral,,76935,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,HS,SC,Gender-Neutral,,161096,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,HS,ST,Gender-Neutral,,542855,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,HS,OPEN,Female Only,,23859,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,HS,EWS,Female Only,,38128,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,HS,OBC-NCL,Female Only,,97244,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,HS,SC,Female Only,,203606,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,HS,ST,Female Only,,763740,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,HS,OPEN (CW),Gender-Neutral,,124881,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,HS,EWS (CW),Gender-Neutral,,128362,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,HS,OBC (CW),Gender-Neutral,,141718,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,HS,OPEN (PwD),Gender-Neutral,,322320,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,HS,OBC (PwD),Gender-Neutral,,1100498,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),HS,OPEN,Gender-Neutral,,21874,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),HS,EWS,Gender-Neutral,,33072,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),HS,OBC-NCL,Gender-Neutral,,84388,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),HS,SC,Gender-Neutral,,187910,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),HS,ST,Gender-Neutral,,568571,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),HS,OPEN,Female Only,,25681,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),HS,EWS,Female Only,,41163,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),HS,OBC-NCL,Female Only,,105143,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),HS,SC,Female Only,,250069,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),HS,OPEN (CW),Gender-Neutral,,897901,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),HS,OPEN (PwD),Gender-Neutral,,348976,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,HS,OPEN,Gender-Neutral,,24436,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,HS,EWS,Gender-Neutral,,38028,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,HS,OBC-NCL,Gender-Neutral,,90670,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,HS,SC,Gender-Neutral,,217029,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,HS,ST,Gender-Neutral,,722781,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,HS,OPEN,Female Only,,30048,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,HS,EWS,Female Only,,47972,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,HS,OBC-NCL,Female Only,,129421,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,HS,SC,Female Only,,266532,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,HS,ST,Female Only,,1012026,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,HS,OPEN (CW),Gender-Neutral,,35192,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,HS,OPEN (PwD),Gender-Neutral,,276906,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,,30182,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,HS,EWS,Gender-Neutral,,48352,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,HS,OBC-NCL,Gender-Neutral,,117158,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,HS,SC,Gender-Neutral,,243281,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,HS,ST,Gender-Neutral,,1195863,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,HS,OPEN,Female Only,,37404,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,HS,EWS,Female Only,,80526,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,HS,OBC-NCL,Female Only,,224857,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,HS,SC,Female Only,,350407,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,HS,OPEN (CW),Gender-Neutral,,41050,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,HS,EWS (CW),Gender-Neutral,,332321,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,HS,OBC (CW),Gender-Neutral,,189446,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,HS,OPEN (PwD),Gender-Neutral,,707821,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),HS,OPEN,Gender-Neutral,,31542,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),HS,EWS,Gender-Neutral,,53078,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),HS,OBC-NCL,Gender-Neutral,,124554,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),HS,SC,Gender-Neutral,,268558,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),HS,OPEN,Female Only,,39639,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),HS,EWS,Female Only,,123074,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),HS,OBC-NCL,Female Only,,271991,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),HS,SC,Female Only,,399514,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),HS,OPEN (CW),Gender-Neutral,,65191,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),HS,OBC (CW),Gender-Neutral,,228918,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),HS,OPEN (PwD),Gender-Neutral,,1205019,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,HS,OPEN,Gender-Neutral,,39515,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,HS,EWS,Gender-Neutral,,65267,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,HS,OBC-NCL,Gender-Neutral,,162609,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,HS,SC,Gender-Neutral,,382617,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,HS,ST,Gender-Neutral,,1089198,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,HS,OPEN,Female Only,,70420,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,HS,EWS,Female Only,,153929,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,HS,OBC-NCL,Female Only,,283338,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,HS,SC,Female Only,,611426,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,HS,OPEN (CW),Gender-Neutral,,92422,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,HS,EWS (CW),Gender-Neutral,,474793,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,HS,OBC (CW),Gender-Neutral,,203785,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,HS,OPEN,Gender-Neutral,,49909,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,HS,EWS,Gender-Neutral,,74833,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,HS,OBC-NCL,Gender-Neutral,,199619,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,HS,SC,Gender-Neutral,,592273,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,HS,OPEN,Female Only,,83030,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,HS,EWS,Female Only,,170834,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,HS,OBC-NCL,Female Only,,382011,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,HS,SC,Female Only,,940457,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,HS,OPEN (CW),Gender-Neutral,,127177,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,HS,EWS (CW),Gender-Neutral,,761651,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,HS,OBC (CW),Gender-Neutral,,327217,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,HS,OPEN (PwD),Gender-Neutral,,826961,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,HS,OPEN,Gender-Neutral,,61154,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,HS,EWS,Gender-Neutral,,96473,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,HS,OBC-NCL,Gender-Neutral,,245326,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,HS,SC,Gender-Neutral,,680587,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,HS,OPEN,Female Only,,88025,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,HS,EWS,Female Only,,165335,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,HS,OBC-NCL,Female Only,,453070,2024
