Institute,Location,Type,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Year
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Artificial Intelligence),OS,OPEN (CW),Gender-Neutral,,750303,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,OS,OPEN,Gender-Neutral,,8168,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,OS,EWS,Gender-Neutral,,9983,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,OS,OBC-NCL,Gender-Neutral,,17193,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,OS,SC,Gender-Neutral,,65585,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,OS,ST,Gender-Neutral,,54467,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,OS,OPEN,Female Only,,11265,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,OS,OBC-NCL,Female Only,,28474,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,OS,SC,Female Only,,97048,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,OS,OPEN (CW),Gender-Neutral,,63023,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,OS,EWS (CW),Gender-Neutral,,80070,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,OS,OPEN (PwD),Gender-Neutral,,49910,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,OS,OBC (PwD),Gender-Neutral,,290556,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering,OS,SC (PwD),Gender-Neutral,,259791,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),OS,OPEN,Gender-Neutral,,8757,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),OS,EWS,Gender-Neutral,,12350,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),OS,OBC-NCL,Gender-Neutral,,18717,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),OS,SC,Gender-Neutral,,75070,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),OS,ST,Gender-Neutral,,101936,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),OS,OPEN,Female Only,,22348,2024
NSUT Main Campus,Delhi,JAC Delhi,Computer Science and Engineering (Data Science),OS,SC,Female Only,,97401,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,OS,OPEN,Gender-Neutral,,9422,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,OS,EWS,Gender-Neutral,,12820,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,OS,OBC-NCL,Gender-Neutral,,20551,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,OS,SC,Gender-Neutral,,90292,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,OS,ST,Gender-Neutral,,120795,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,OS,OPEN,Female Only,,14623,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,OS,OBC-NCL,Female Only,,32335,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,OS,SC,Female Only,,138500,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology,OS,OPEN (PwD),Gender-Neutral,,92882,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),OS,OPEN,Gender-Neutral,,10632,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),OS,EWS,Gender-Neutral,,12846,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),OS,OBC-NCL,Gender-Neutral,,23144,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),OS,SC,Gender-Neutral,,98810,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),OS,ST,Gender-Neutral,,132971,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),OS,OPEN,Female Only,,15112,2024
NSUT Main Campus,Delhi,JAC Delhi,Information Technology (Network and Information Security),OS,ST,Female Only,,258750,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,OS,OPEN,Gender-Neutral,,10680,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,OS,EWS,Gender-Neutral,,13947,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,OS,OBC-NCL,Gender-Neutral,,24652,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,OS,SC,Gender-Neutral,,106590,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,OS,ST,Gender-Neutral,,136201,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,OS,OPEN,Female Only,,17031,2024
NSUT Main Campus,Delhi,JAC Delhi,Mathematics and Computing,OS,OBC-NCL,Female Only,,33167,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,OS,OPEN,Gender-Neutral,,12368,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,OS,EWS,Gender-Neutral,,15727,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,OS,OBC-NCL,Gender-Neutral,,28427,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,OS,SC,Gender-Neutral,,115393,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,OS,ST,Gender-Neutral,,193912,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,OS,OPEN,Female Only,,19534,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,OS,EWS,Female Only,,33527,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,OS,OBC-NCL,Female Only,,35842,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,OS,SC,Female Only,,135073,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,OS,ST,Female Only,,285306,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,OS,OPEN (PwD),Gender-Neutral,,197118,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics and Communication Engineering,OS,OBC (PwD),Gender-Neutral,,209427,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),OS,OPEN,Gender-Neutral,,11227,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),OS,EWS,Gender-Neutral,,15002,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),OS,OBC-NCL,Gender-Neutral,,24079,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),OS,SC,Gender-Neutral,,114392,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),OS,ST,Gender-Neutral,,322282,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),OS,OBC-NCL,Female Only,,38248,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),OS,SC,Female Only,,160055,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Big Data Analytics),OS,OPEN (PwD),Gender-Neutral,,115477,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),OS,OPEN,Gender-Neutral,,12659,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),OS,EWS,Gender-Neutral,,16993,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),OS,OBC-NCL,Gender-Neutral,,30278,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),OS,SC,Gender-Neutral,,112680,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),OS,ST,Gender-Neutral,,339085,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),OS,OPEN,Female Only,,20758,2024
NSUT East Campus,Delhi,JAC Delhi,Computer Science and Engineering (Internet of Things),OS,OBC-NCL,Female Only,,45361,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),OS,OPEN,Gender-Neutral,,13497,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),OS,EWS,Gender-Neutral,,17679,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),OS,OBC-NCL,Gender-Neutral,,31758,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),OS,SC,Gender-Neutral,,123462,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),OS,ST,Gender-Neutral,,358129,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),OS,OPEN,Female Only,,23575,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),OS,EWS,Female Only,,43342,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),OS,OBC-NCL,Female Only,,53660,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),OS,ST,Female Only,,403138,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),OS,OPEN (CW),Gender-Neutral,,56013,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),OS,EWS (CW),Gender-Neutral,,37143,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),OS,SC (PwD),Gender-Neutral,,630962,2024
NSUT East Campus,Delhi,JAC Delhi,Electronics and Communication Engineering (AI and ML),OS,ST (PwD),Gender-Neutral,,861393,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),OS,OPEN,Gender-Neutral,,12959,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),OS,EWS,Gender-Neutral,,16175,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),OS,OBC-NCL,Gender-Neutral,,30206,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),OS,SC,Gender-Neutral,,121494,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),OS,ST,Gender-Neutral,,222532,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),OS,OPEN,Female Only,,18827,2024
NSUT Main Campus,Delhi,JAC Delhi,Electronics Engineering (VLSI Design and Technology),OS,OBC-NCL,Female Only,,37553,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,OS,OPEN,Gender-Neutral,,16229,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,OS,EWS,Gender-Neutral,,19354,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,OS,OBC-NCL,Gender-Neutral,,34836,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,OS,SC,Gender-Neutral,,130342,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,OS,ST,Gender-Neutral,,287287,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,OS,OPEN,Female Only,,25855,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,OS,OBC-NCL,Female Only,,37437,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,OS,ST,Female Only,,404216,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,OS,OPEN (CW),Gender-Neutral,,112859,2024
NSUT Main Campus,Delhi,JAC Delhi,Electrical Engineering,OS,OBC (CW),Gender-Neutral,,145019,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,OS,OPEN,Gender-Neutral,,18602,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,OS,EWS,Gender-Neutral,,19970,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,OS,OBC-NCL,Gender-Neutral,,47638,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,OS,SC,Gender-Neutral,,179684,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,OS,ST,Gender-Neutral,,383479,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,OS,OPEN,Female Only,,35891,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,OS,OBC-NCL,Female Only,,58424,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,OS,SC,Female Only,,206724,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,OS,OPEN (CW),Gender-Neutral,,230851,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,OS,SC (PwD),Gender-Neutral,,521592,2024
NSUT Main Campus,Delhi,JAC Delhi,Instrumentation and Control Engineering,OS,OPEN (PwD),Gender-Neutral,,246070,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,OS,OPEN,Gender-Neutral,,22083,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,OS,EWS,Gender-Neutral,,26025,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,OS,OBC-NCL,Gender-Neutral,,48389,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,OS,SC,Gender-Neutral,,180632,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,OS,ST,Gender-Neutral,,372164,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,OS,OPEN,Female Only,,36192,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,OS,EWS,Female Only,,43629,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,OS,OBC-NCL,Female Only,,59568,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,OS,SC,Female Only,,208028,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,OS,SC (PwD),Gender-Neutral,,284488,2024
NSUT Main Campus,Delhi,JAC Delhi,Mechanical Engineering,OS,OPEN (PwD),Gender-Neutral,,412737,2024
NSUT Main Campus,Delhi,JAC Delhi,Bio-Technology,OS,OPEN,Gender-Neutral,,29585,2024
NSUT Main Campus,Delhi,JAC Delhi,Bio-Technology,OS,EWS,Gender-Neutral,,39335,2024
NSUT Main Campus,Delhi,JAC Delhi,Bio-Technology,OS,OBC-NCL,Gender-Neutral,,55940,2024
NSUT Main Campus,Delhi,JAC Delhi,Bio-Technology,OS,SC,Gender-Neutral,,194807,2024
NSUT Main Campus,Delhi,JAC Delhi,Bio-Technology,OS,ST,Gender-Neutral,,384046,2024
NSUT Main Campus,Delhi,JAC Delhi,Bio-Technology,OS,OPEN,Female Only,,37635,2024
NSUT Main Campus,Delhi,JAC Delhi,Bio-Technology,OS,OBC-NCL,Female Only,,61767,2024
NSUT Main Campus,Delhi,JAC Delhi,Bio-Technology,OS,SC (PwD),Gender-Neutral,,240557,2024
NSUT West Campus,Delhi,JAC Delhi,Mechanical Engineering (Electric Vehicles),OS,OPEN,Gender-Neutral,,25061,2024
NSUT West Campus,Delhi,JAC Delhi,Mechanical Engineering (Electric Vehicles),OS,EWS,Gender-Neutral,,34499,2024
NSUT West Campus,Delhi,JAC Delhi,Mechanical Engineering (Electric Vehicles),OS,OBC-NCL,Gender-Neutral,,50318,2024
NSUT West Campus,Delhi,JAC Delhi,Mechanical Engineering (Electric Vehicles),OS,SC,Gender-Neutral,,185194,2024
NSUT West Campus,Delhi,JAC Delhi,Mechanical Engineering (Electric Vehicles),OS,OPEN,Female Only,,39574,2024
NSUT West Campus,Delhi,JAC Delhi,Mechanical Engineering (Electric Vehicles),OS,OBC-NCL,Female Only,,60641,2024
NSUT West Campus,Delhi,JAC Delhi,Civil Engineering,OS,OPEN,Gender-Neutral,,30115,2024
NSUT West Campus,Delhi,JAC Delhi,Civil Engineering,OS,EWS,Gender-Neutral,,40251,2024
NSUT West Campus,Delhi,JAC Delhi,Civil Engineering,OS,OBC-NCL,Gender-Neutral,,56502,2024
NSUT West Campus,Delhi,JAC Delhi,Civil Engineering,OS,SC,Gender-Neutral,,201942,2024
NSUT West Campus,Delhi,JAC Delhi,Geoinformatics,OS,OPEN,Gender-Neutral,,31389,2024
NSUT West Campus,Delhi,JAC Delhi,Geoinformatics,OS,OBC-NCL,Gender-Neutral,,57665,2024
NSUT West Campus,Delhi,JAC Delhi,Geoinformatics,OS,SC,Gender-Neutral,,193937,2024
NSUT West Campus,Delhi,JAC Delhi,Geoinformatics,OS,ST,Gender-Neutral,,409628,2024
NSUT West Campus,Delhi,JAC Delhi,Geoinformatics,OS,OPEN,Female Only,,40724,2024
NSUT West Campus,Delhi,JAC Delhi,Bachelor of Architecture,OS,OPEN,Gender-Neutral,,1449,2024
NSUT West Campus,Delhi,JAC Delhi,Bachelor of Architecture,OS,EWS,Gender-Neutral,,5628,2024
NSUT West Campus,Delhi,JAC Delhi,Bachelor of Architecture,OS,OBC-NCL,Gender-Neutral,,3059,2024
NSUT West Campus,Delhi,JAC Delhi,Bachelor of Architecture,OS,SC,Gender-Neutral,,4739,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Computer Science and Engineering,OS,OPEN,Gender-Neutral,,6406,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Computer Science and Engineering,OS,EWS,Gender-Neutral,,10421,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Computer Science and Engineering,OS,OBC-NCL,Gender-Neutral,,12590,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Computer Science and Engineering,OS,SC,Gender-Neutral,,66040,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Computer Science and Engineering,OS,ST,Gender-Neutral,,88837,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Information Technology,OS,OPEN,Gender-Neutral,,6871,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Information Technology,OS,EWS,Gender-Neutral,,12088,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Information Technology,OS,OBC-NCL,Gender-Neutral,,15893,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Information Technology,OS,SC,Gender-Neutral,,73585,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Information Technology,OS,ST,Gender-Neutral,,125374,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Software Engineering,OS,OPEN,Gender-Neutral,,10046,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Software Engineering,OS,EWS,Gender-Neutral,,14131,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Software Engineering,OS,OBC-NCL,Gender-Neutral,,21624,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Software Engineering,OS,SC,Gender-Neutral,,86411,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Software Engineering,OS,ST,Gender-Neutral,,106627,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Mathematics and Computing,OS,OPEN,Gender-Neutral,,10289,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Mathematics and Computing,OS,EWS,Gender-Neutral,,14223,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Mathematics and Computing,OS,OBC-NCL,Gender-Neutral,,24179,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Mathematics and Computing,OS,SC,Gender-Neutral,,96377,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Mathematics and Computing,OS,ST,Gender-Neutral,,129675,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Electronics and Communication Engineering,OS,OPEN,Gender-Neutral,,11787,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Electronics and Communication Engineering,OS,EWS,Gender-Neutral,,15529,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Electronics and Communication Engineering,OS,OBC-NCL,Gender-Neutral,,25615,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Electronics and Communication Engineering,OS,SC,Gender-Neutral,,99941,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Electronics and Communication Engineering,OS,ST,Gender-Neutral,,151748,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Electrical Engineering,OS,OPEN,Gender-Neutral,,15907,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Electrical Engineering,OS,EWS,Gender-Neutral,,17614,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Electrical Engineering,OS,OBC-NCL,Gender-Neutral,,33509,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Electrical Engineering,OS,SC,Gender-Neutral,,128524,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Electrical Engineering,OS,ST,Gender-Neutral,,194690,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Mechanical Engineering,OS,OPEN,Gender-Neutral,,20977,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Mechanical Engineering,OS,EWS,Gender-Neutral,,24501,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Mechanical Engineering,OS,OBC-NCL,Gender-Neutral,,44147,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Mechanical Engineering,OS,SC,Gender-Neutral,,170442,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Mechanical Engineering,OS,ST,Gender-Neutral,,260436,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Mechanical Engineering with specialization in Automotive Engineering,OS,OPEN,Gender-Neutral,,16830,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Mechanical Engineering with specialization in Automotive Engineering,OS,EWS,Gender-Neutral,,23791,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Mechanical Engineering with specialization in Automotive Engineering,OS,OBC-NCL,Gender-Neutral,,45219,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Mechanical Engineering with specialization in Automotive Engineering,OS,SC,Gender-Neutral,,173048,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Mechanical Engineering with specialization in Automotive Engineering,OS,ST,Gender-Neutral,,368939,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Engineering Physics,OS,OPEN,Gender-Neutral,,19657,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Engineering Physics,OS,EWS,Gender-Neutral,,24442,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Engineering Physics,OS,OBC-NCL,Gender-Neutral,,49002,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Engineering Physics,OS,SC,Gender-Neutral,,187998,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Engineering Physics,OS,ST,Gender-Neutral,,375857,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Chemical Engineering,OS,OPEN,Gender-Neutral,,22845,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Chemical Engineering,OS,EWS,Gender-Neutral,,25367,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Chemical Engineering,OS,OBC-NCL,Gender-Neutral,,50025,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Chemical Engineering,OS,SC,Gender-Neutral,,180128,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Chemical Engineering,OS,ST,Gender-Neutral,,206487,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Civil Engineering,OS,OPEN,Gender-Neutral,,28180,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Civil Engineering,OS,EWS,Gender-Neutral,,37215,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Civil Engineering,OS,OBC-NCL,Gender-Neutral,,53032,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Civil Engineering,OS,SC,Gender-Neutral,,178296,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Civil Engineering,OS,ST,Gender-Neutral,,252579,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Production & Industrial Engineering,OS,OPEN,Gender-Neutral,,25875,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Production & Industrial Engineering,OS,EWS,Gender-Neutral,,29899,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Production & Industrial Engineering,OS,OBC-NCL,Gender-Neutral,,54184,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Production & Industrial Engineering,OS,SC,Gender-Neutral,,188464,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Production & Industrial Engineering,OS,ST,Gender-Neutral,,383834,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Environmental Engineering,OS,OPEN,Gender-Neutral,,27789,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Environmental Engineering,OS,EWS,Gender-Neutral,,37686,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Environmental Engineering,OS,OBC-NCL,Gender-Neutral,,55534,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Environmental Engineering,OS,SC,Gender-Neutral,,201699,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Environmental Engineering,OS,ST,Gender-Neutral,,387956,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Bio-Technology,OS,OPEN,Gender-Neutral,,26859,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Bio-Technology,OS,EWS,Gender-Neutral,,37660,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Bio-Technology,OS,OBC-NCL,Gender-Neutral,,55770,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Bio-Technology,OS,SC,Gender-Neutral,,197944,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Bio-Technology,OS,ST,Gender-Neutral,,282632,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Computer Science and Engineering,HS,OPEN,Gender-Neutral,,13567,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Computer Science and Engineering,HS,EWS,Gender-Neutral,,25062,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,,57096,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Computer Science and Engineering,HS,SC,Gender-Neutral,,122763,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Computer Science and Engineering,HS,ST,Gender-Neutral,,361124,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Information Technology,HS,OPEN,Gender-Neutral,,17916,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Information Technology,HS,EWS,Gender-Neutral,,27361,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Information Technology,HS,OBC-NCL,Gender-Neutral,,71245,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Information Technology,HS,SC,Gender-Neutral,,140198,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Information Technology,HS,ST,Gender-Neutral,,494782,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Software Engineering,HS,OPEN,Gender-Neutral,,21614,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Software Engineering,HS,EWS,Gender-Neutral,,30793,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Software Engineering,HS,OBC-NCL,Gender-Neutral,,83824,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Software Engineering,HS,SC,Gender-Neutral,,175806,2024
Delhi Technological University (DTU),Delhi,JAC Delhi,Software Engineering,HS,ST,Gender-Neutral,,515808,2024
